time.hours,oxygen
3.36,-1.01
3.36,-1.08
3.36,-0.995
3.36,-1.02
3.384,-1.07
3.384,-1.03
3.384,-1.08
3.384,-0.986
3.384,-1.07
3.384,-0.95
3.384,-1.01
3.384,-1.02
3.408,-1.03
3.408,-0.978
3.408,-1.06
3.408,-1.02
3.408,-0.999
3.408,-0.978
3.408,-0.934
3.408,-0.971
3.408,-1.01
3.432,-0.999
3.432,-0.999
3.432,-0.965
3.432,-0.96
3.432,-1.02
3.432,-0.978
3.432,-1.12
3.432,-1.02
3.432,-1.01
3.456,-0.976
3.456,-1.05
3.456,-0.937
3.456,-0.969
3.456,-1.05
3.456,-1.04
3.456,-1.07
3.456,-0.962
3.48,-0.95
3.48,-1
3.48,-1.06
3.48,-1.02
3.48,-0.954
3.48,-0.98
3.48,-1.05
3.48,-0.999
3.48,-1.08
3.504,-1.04
3.504,-1
3.504,-0.982
3.504,-1.01
3.504,-0.995
3.504,-1.11
3.504,-1.02
3.504,-0.973
3.504,-1
3.528,-1.09
3.528,-1.06
3.528,-0.965
3.528,-0.943
3.528,-0.913
3.528,-1.01
3.528,-0.988
3.528,-1
3.552,-1.01
3.552,-0.999
3.552,-1.02
3.552,-1.02
3.552,-1.05
3.552,-1.01
3.552,-1.03
3.552,-0.982
3.552,-0.98
3.576,-1.07
3.576,-0.975
3.576,-1.04
3.576,-1.03
3.576,-0.982
3.576,-0.995
3.576,-1.05
3.576,-1.03
3.576,-0.993
3.6,-1.02
3.6,-0.969
3.6,-1.05
3.6,-0.971
3.6,-0.984
3.6,-0.921
3.6,-1.02
3.6,-0.969
3.624,-1.01
3.624,-1.03
3.624,-1.02
3.624,-0.995
3.624,-0.947
3.624,-0.978
3.624,-1.02
3.624,-1.04
3.624,-1.08
3.648,-0.993
3.648,-0.984
3.648,-0.989
3.648,-0.984
3.648,-1.02
3.648,-1.11
3.648,-0.989
3.648,-1.01
3.672,-1.02
3.672,-1.02
3.672,-0.984
3.672,-1.02
3.672,-0.986
